Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:727Z2S2mtNH46CbP9EWPwY,"If You Love Her","If You Love Her","Forest Blakk",2020-09-30,217351,77,false,thegoodfm,2023-08-28T15:46:05Z,"spoken word","Atlantic Records",0.286,0.445,6,-8.087,1,0.0347,0.355,0,0.114,0.278,50.827,4
spotify:track:6HJizCbaqaEQG1eLjn341Z,"Hurtless","Hurtless","Dean Lewis",2022-03-31,180274,57,false,thegoodfm,2023-08-29T09:33:24Z,"","Universal Music Australia Pty. Ltd.",0.37,0.559,0,-5.589,1,0.0526,0.186,0,0.121,0.316,162.816,4
spotify:track:4IhKLu7Vk3j2TLmnFPl6To,"Water Fountain","Narrated For You","Alec Benjamin",2018-11-16,218893,73,false,thegoodfm,2022-05-19T17:28:52Z,"","2018",0.723,0.504,8,-5.572,1,0.0392,0.388,0.000074,0.087,0.551,133.975,4
spotify:track:5vBVfMVzoNT0RabhTnb7dt,"What Was I Made For? (lofi remix)","sad vocal lofi covers","saint rumi;Taki Brano;Chill Space",2024-05-24,208489,7,false,thegoodfm,2024-05-24T15:19:29Z,"jazz beats,lo-fi,jazz rap","Chill Space Records",0.819,0.163,0,-15.252,1,0.0545,0.835,0.575,0.118,0.328,75.982,4
spotify:track:12OLyHDxt6dqlAybSPFBK3,"Forever","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,210863,72,false,thegoodfm,2022-05-19T17:28:52Z,"soft pop","Vertigo Berlin",0.646,0.355,1,-7.119,1,0.0263,0.873,0,0.115,0.364,84.988,4
spotify:track:38wd4xgpOc8nAShdek7PYn,"Oblivion (lofi remix)","sad vocal lofi covers","raihan;saint rumi;Tosso;Chill Space",2024-05-24,138402,9,false,thegoodfm,2024-05-24T15:19:29Z,"jazz beats,lo-fi","Chill Space Records",0.8,0.377,4,-14.383,1,0.127,0.771,0.539,0.137,0.559,97.038,4
spotify:track:0WFryfbNKPXVtVQlz5dZ8H,"hotline (edit)","hotline (edit)","Billie Eilish",2023-05-09,60719,74,false,thegoodfm,2023-08-28T15:52:56Z,"","Darkroom/Interscope Records",0.516,0.254,9,-16.027,0,0.0589,0.816,0.855,0.189,0.304,56.829,4
spotify:track:1nYzjrdVQ8RpF93M0jPFW7,"Remember That Night?","Remember That Night?","Sara Kays",2020-11-06,227186,73,false,thegoodfm,2022-05-19T17:28:52Z,"","P2021",0.679,0.61,7,-10.936,0,0.0305,0.585,0.0000951,0.156,0.554,123.978,4
spotify:track:0XPt3yIKwYwqUegPnbLQME,"I'm Not the Only One","Cover Girl","Cali Tucker",2017-02-14,241137,30,false,thegoodfm,2025-05-05T16:39:51Z,"","Mother Tucker Music Inc.",0.349,0.575,6,-8.869,1,0.0339,0.216,0,0.103,0.661,163.363,4
spotify:track:44V6EzbUSYgyfsNiP0FrlA,"Visiting Hours","Visiting Hours","Ed Sheeran",2021-08-19,215506,1,false,thegoodfm,2022-05-19T17:28:52Z,"soft pop","Atlantic Records/Asylum",0.471,0.396,8,-6.654,1,0.0336,0.77,0,0.0729,0.263,149.609,4
spotify:track:3EPXxR3ImUwfayaurPi3cm,"Be Alright","Be Alright","Dean Lewis",2018-06-29,196373,76,true,thegoodfm,2022-05-19T17:28:52Z,"","Universal Music Australia Pty. Ltd.",0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,4
spotify:track:47EWMOElkkbMp5m9SBkx7d,"IDK You Yet","IDK You Yet","Alexander 23",2020-04-09,184638,1,false,thegoodfm,2022-05-19T17:28:52Z,"","Interscope Records",0.629,0.306,1,-11.735,1,0.0424,0.884,0.0776,0.124,0.191,76.994,1
spotify:track:04zpnoSROKFTCfgkoPcZ5A,"I'll Be Waiting","Victory","Cian Ducrot",2023-08-04,172547,66,false,thegoodfm,2023-08-29T09:33:00Z,"","Polydor Records",0.518,0.64,1,-4.114,1,0.0401,0.348,0,0.0758,0.563,155.899,4
spotify:track:69vToJ9BMbbLlFZo7k7A7B,"You Are The Reason","Only Human (Deluxe)","Calum Scott",2018-03-09,204326,80,false,thegoodfm,2023-08-28T15:46:24Z,"soft pop","Capitol Records (US1A)",0.329,0.235,10,-7.699,1,0.0303,0.918,0,0.137,0.22,171.006,3
spotify:track:7slfeXbuzr9RYXX6XS6Npi,"Before You Go - Piano Version","Before You Go (Piano Version)","Lewis Capaldi",2019-12-16,218768,48,false,thegoodfm,2022-05-19T17:28:52Z,"soft pop","Vertigo Berlin",0.467,0.359,3,-6.892,1,0.0815,0.843,0,0.0913,0.21,173.318,3
spotify:track:6J2LdBN97cDWn0MLxYh9HB,"July","THE END OF EVERYTHING","Noah Cyrus",2020-05-15,156106,81,false,thegoodfm,2023-08-28T15:46:16Z,"","Records/Columbia",0.708,0.186,9,-8.953,0,0.042,0.868,0,0.0779,0.322,72.541,4
spotify:track:36seMHoyXmLUNxcwzwjdF7,"Please Notice","Hope","Christian Leave",2016-07-01,116666,10,false,thegoodfm,2022-05-19T17:28:52Z,"","PressPlay",0.55,0.271,2,-8.451,1,0.0297,0.843,0.00000321,0.107,0.198,111.344,4
spotify:track:1is8gU4RVcN4J8xItxWoOY,"I GUESS I'M IN LOVE","I GUESS I'M IN LOVE","Clinton Kane",2021-08-20,204093,67,false,thegoodfm,2022-05-19T17:28:52Z,"","Columbia",0.422,0.34,0,-6.577,1,0.0351,0.877,0.0000177,0.149,0.223,77.213,4
spotify:track:6buUci4CI4v8bipSIzepec,"Trouble (lofi remix)","sad vocal lofi covers","halfstop;Hello London;Chill Space",2024-05-24,144705,6,false,thegoodfm,2024-05-24T15:19:29Z,"lo-fi","Chill Space Records",0.531,0.185,11,-17.431,0,0.0313,0.929,0.781,0.135,0.0738,136.085,4
spotify:track:4m3QLwse1QrDwYDrHPf55j,"still alive","still alive","Zen!;sev.;Chill Space",2024-11-01,137574,11,false,thegoodfm,2024-11-08T15:19:17Z,"ambient,lo-fi","Chill Space Records",0.251,0.0802,7,-27.285,1,0.0488,0.759,0.914,0.103,0.0379,83.774,4
spotify:track:3oh3PCK6VqdVyXFnMnWTbL,"A Night in the Dark","A Night in the Dark","DIDI LOW;Chill Space",2024-11-08,157250,11,false,thegoodfm,2024-11-08T15:19:17Z,"jazz beats,lo-fi","Chill Space Records",0.652,0.206,0,-13.469,1,0.0341,0.906,0.839,0.115,0.077,120.04,4
spotify:track:4h0zU3O9R5xzuTmNO7dNDU,"Lost Boy","Lost Boy","Ruth B.",2015-08-21,275280,66,false,thegoodfm,2022-05-19T17:28:52Z,"","Columbia",0.71,0.0565,7,-15.099,1,0.0534,0.965,0,0.0889,0.348,123.994,4
spotify:track:0sOQCvwR2nojG9isMtR30D,"Can't Stay In Love","Can't Stay In Love","Teddy Bee",2023-04-07,169107,7,false,thegoodfm,2023-04-13T08:43:25Z,"hardstyle","TheGoodVibe",0.36,0.461,7,-9.106,0,0.0393,0.555,0,0.201,0.543,167.479,4
